Entertainer,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death
Adele,F,1988,2008,19,2009.0,2016,0.0
Angelina Jolie,F,1975,1999,"Girl, Interrupted",1999.0,2016,0.0
Aretha Franklin,F,1942,1967,I Never Loved a Man (The Way I Love You),1968.0,2014,0.0
Bette Davis,F,1908,1934,Of Human Bondage,1935.0,1989,1989.0
Betty White,F,1922,1952,Life with Elilzabeth,1976.0,2016,0.0
Bing Crosby,M,1903,1931,Several Songs,1962.0,1974,1977.0
Bob Hope,M,1903,1938,The Big Broadcast of 1938,1940.0,1972,2003.0
Carol Burnett,F,1933,1959,The Garry Moore Show,1962.0,2016,0.0
Carole Lombard,F,1908,1934,Twentieth Century,0.0,1942,1942.0
Carrie Fisher,F,1956,1977,Star Wars,0.0,2016,2016.0
Cary Grant,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970.0,1966,1986.0
Charlie Chaplin,M,1889,1915,The Tramp,1929.0,1967,1977.0
Clara Bow,F,1905,1926,Mantrap,0.0,1933,1965.0
Clark Gable,M,1901,1934,It Happened One Night,1934.0,1960,1960.0
David Letterman,M,1947,1982,Late Night with David Letterman,1981.0,2015,0.0
Debbie Reynolds,F,1932,1952,Singin' in the Rain,0.0,2006,2016.0
Denzel Washington,M,1954,1989,Glory,1989.0,2016,0.0
Dick Van Dyke,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964.0,2015,0.0
Donald Sutherland,M,1935,1967,The Dirty Dozen,1995.0,2016,0.0
Dustin Hoffman,M,1937,1967,The Graduate,1980.0,2016,0.0
Ed Sullivan,M,1901,1948,Toast of the Town,1956.0,1973,1974.0
Eddie Murphy,M,1961,1980,Saturday Night Live,2001.0,2016,0.0
Elton John,M,1947,1972,Honky Chateau,1987.0,2016,0.0
Elvis Presley,M,1935,1956,Heartbreak Hotel,1959.0,1977,1977.0
Frank Sinatra,M,1915,1940,I'll Never Smile Again,1946.0,1980,1998.0
Gene Hackman,M,1930,1967,Bonnie and Clyde,1971.0,2004,0.0
George Michael,M,1963,1984,Wake Me Up Before You Go-Go,1988.0,2004,2016.0
Gregory Peck,M,1916,1944,The Keys of the Kingdom,1962.0,1991,2003.0
Greta Garbo,F,1905,1930,Anna Christie,1954.0,1941,1990.0
Humphrey Bogart,M,1899,1936,The Petrified Forest,1951.0,1956,1957.0
James Dean,M,1931,1953,East of Eden,1955.0,1955,1955.0
Jay Leno,M,1950,1992,The Tonight Show,1995.0,2014,0.0
Jennifer Aniston,F,1969,1994,Friends,2002.0,2016,0.0
Jerry Seinfeld,M,1954,1988,Seinfeld,1992.0,2016,0.0
Jimmy Page,M,1944,1969,Led Zeppelin 2,1999.0,2016,0.0
Jimmy Stewart,M,1908,1938,You Can't Take it With You,1941.0,1980,1997.0
Joan Crawford,F,1904,1928,Our Dancing Daughters,1946.0,1970,1977.0
John Lennon,M,1940,1963,I Want to Hold Your Hand,1965.0,1980,1980.0
John Wayne,M,1907,1939,Stagecoach,1970.0,1976,1979.0
Johnny Carson,M,1925,1962,The Tonight Show Starring Johnny Carson,1976.0,1992,2005.0
Johnny Depp,M,1963,1987,21 Jump Street,0.0,2016,0.0
Justin Timberlake,M,1981,2000,No Strings Attached,2004.0,2016,0.0
Katherine Hepburn,F,1907,1933,Morning Glory,1933.0,1994,2003.0
Keifer Sutherland,M,1966,2001,24,2006.0,2016,0.0
Kirk Douglas,M,1916,1949,Champion,1996.0,2004,0.0
Lady Gaga,F,1986,2008,The Fame,2010.0,2016,0.0
Leonard Bernstein,M,1918,1957,West Side Story,1962.0,1989,1990.0
Leonardo DiCaprio,M,1974,1997,Titanic,2016.0,2016,0.0
Louis Armstrong,M,1901,1964,"Hello, Dolly!",1993.0,1970,1971.0
Madonna,F,1958,1984,Like A Virgin,1992.0,2015,0.0
Mariah Carey,F,1969,1990,Mariah Carey,1991.0,2014,0.0
Marlon Brando,M,1924,1951,Streetcar Named Desire,1953.0,2001,2004.0
Mary Tyler Moore,F,1936,1961,The Dick Van Dyke Show,1964.0,2013,0.0
Meryl Streep,F,1949,1978,The Deer Hunter,1980.0,2016,0.0
Mick Jagger,M,1943,1965,(I Can't Get No) Satisfaction,1987.0,2016,0.0
Morgan Freeman,M,1937,1989,Driving Miss Daisy and Glory,2005.0,2016,0.0
Oprah Winfrey,F,1954,1985,The Color Purple,1987.0,2016,0.0
Paul McCartney,M,1942,1963,I Want to Hold Your Hand,1965.0,2016,0.0
Paul Newman,M,1925,1958,Cat on a Hot Tin Roof,1986.0,2005,2008.0
Peter O'Toole,M,1932,1962,Lawrence of Arabia,2002.0,2013,2013.0
Prince,M,1958,1979,Prince,1984.0,2016,2016.0
Robert Redford,M,1936,1969,Butch Cassidy and the Sundance Kid,1980.0,2016,0.0
Sidney Poitier,M,1927,1955,Blackboard Jungle,1964.0,2008,0.0
Sly Stone,M,1943,1968,Everyday People,2017.0,1971,0.0
Stevie Wonder,M,1950,1963,Fingertips,1973.0,2005,0.0
Tom Hanks,M,1956,1984,Splash,1993.0,2016,0.0
Tony Bennett,M,1926,1951,Because of You,1963.0,2016,0.0
Wayne Newton,M,1942,1972,"Daddy, Don't You Walk So Fast",0.0,2016,0.0
Will Smith,M,1968,1990,The Fresh Prince of Bel-Air,1988.0,2016,0.0
Willie Nelson,M,1933,1975,Red Headed Stranger,1976.0,2016,0.0
